src_ip,dst_ip,src_port,dst_port,protocol,tos,packets,bytes,flows,start_time,end_time
192.168.1.235,192.168.1.132,64814,56576,TCP,16,427,277550,2,1719841097,1719841106.1177
192.168.1.202,192.168.1.31,54632,53,TCP,0,199,176712,1,1719841256,1719841256.6672
192.168.1.201,10.0.0.114,4954,123,TCP,0,165,154770,1,1719838972,1719838973.1331
192.168.1.214,198.51.100.33,48774,53,TCP,64,956,536316,1,1719839391,1719839399.2539
192.168.1.139,198.51.100.21,5156,123,UDP,16,668,298596,1,1719835346,1719835351.1952
192.168.1.208,10.0.0.30,46853,123,TCP,32,230,218270,2,1719841488,1719841495.51
192.168.1.96,10.0.0.194,5700,6438,TCP,64,347,304666,2,1719835662,1719835668.6476
192.168.1.12,192.168.1.58,4245,53,TCP,16,394,137900,3,1719840479,1719840481.1342
192.168.1.14,192.168.1.88,39472,53,UDP,0,596,408856,1,1719841374,1719841383.271
192.168.1.143,192.168.1.28,24807,443,TCP,64,503,397873,3,1719837592,1719837597.7102
192.168.1.164,10.0.0.224,58759,4213,TCP,64,356,105020,1,1719839349,1719839355.4503
192.168.1.212,192.168.1.183,11292,53,ICMP,16,86,21328,1,1719841931,1719841932.8377
192.168.1.220,192.168.1.113,2074,80,TCP,64,879,196017,3,1719840692,1719840699.4673
192.168.1.10,192.168.1.19,49619,123,TCP,0,485,365205,2,1719837999,1719838004.8136
192.168.1.49,192.168.1.62,6597,443,TCP,32,844,670980,2,1719835847,1719835848.1531
192.168.1.122,10.0.0.223,35707,123,TCP,64,996,282864,3,1719838239,1719838247.6466
192.168.1.186,10.0.0.101,21768,80,TCP,16,270,154980,3,1719839871,1719839880.5174
192.168.1.4,10.0.0.228,50453,42888,TCP,32,350,194250,1,1719839424,1719839428.068
192.168.1.207,10.0.0.144,18638,80,TCP,16,658,69090,3,1719842020,1719842028.6889
192.168.1.11,10.0.0.172,25382,53,TCP,32,835,292250,3,1719835472,1719835477.8855
192.168.1.182,10.0.0.120,61058,443,ICMP,0,525,236775,3,1719836542,1719836544.7142
192.168.1.247,192.168.1.9,52064,443,TCP,32,808,643976,1,1719838856,1719838863.6412
192.168.1.200,10.0.0.229,19035,53,TCP,16,446,112392,2,1719835503,1719835507.0988
192.168.1.215,10.0.0.36,12204,123,TCP,16,66,11484,3,1719841291,1719841295.8675
192.168.1.112,10.0.0.59,23830,123,TCP,16,768,471552,1,1719840833,1719840837.7569
192.168.1.68,10.0.0.63,33069,80,TCP,32,985,646160,1,1719836717,1719836726.1584
192.168.1.123,192.168.1.196,5615,443,TCP,32,897,459264,3,1719839388,1719839390.6307
192.168.1.109,10.0.0.224,64209,443,UDP,16,693,492030,2,1719840966,1719840966.3288
192.168.1.248,192.168.1.151,43403,123,TCP,0,988,66196,3,1719841261,1719841262.6614
192.168.1.115,192.168.1.196,17338,443,TCP,64,581,375907,3,1719836228,1719836232.2288
192.168.1.229,192.168.1.58,49487,443,TCP,32,948,503388,3,1719835640,1719835644.5082
192.168.1.169,192.168.1.34,60091,50469,UDP,0,186,77748,2,1719839670,1719839670.9109
192.168.1.217,192.168.1.91,41097,80,UDP,64,910,170170,1,1719837993,1719837995.5704
192.168.1.249,10.0.0.224,35957,123,TCP,16,57,32262,1,1719839747,1719839756.1324
192.168.1.203,198.51.100.42,29330,123,UDP,0,31,22847,3,1719840861,1719840867.9789
192.168.1.127,10.0.0.86,49355,58052,UDP,64,285,156465,3,1719841759,1719841768.1439
192.168.1.115,10.0.0.148,39936,15507,UDP,0,349,150768,1,1719839758,1719839763.2212
192.168.1.111,10.0.0.218,14006,80,TCP,0,383,248950,2,1719841161,1719841161.6772
192.168.1.50,198.51.100.32,19526,123,UDP,16,90,41040,3,1719840627,1719840632.6493
192.168.1.220,10.0.0.241,38025,123,TCP,64,898,598966,3,1719840103,1719840112.7004
192.168.1.244,10.0.0.121,39981,80,TCP,16,557,158745,3,1719840113,1719840115.0942
192.168.1.121,10.0.0.99,38065,443,TCP,0,978,583866,2,1719841613,1719841614.1513
192.168.1.217,10.0.0.112,44235,443,TCP,32,334,239478,2,1719840367,1719840376.6903
192.168.1.35,10.0.0.11,39525,53,TCP,0,36,24336,2,1719842263,1719842264.2593
192.168.1.79,198.51.100.21,61854,443,UDP,64,465,405945,2,1719835797,1719835800.2473
192.168.1.26,192.168.1.5,55130,53,TCP,64,101,27876,2,1719840634,1719840640.8142
192.168.1.161,8.8.8.5,64607,123,TCP,32,803,143737,2,1719839288,1719839295.44
192.168.1.151,10.0.0.211,58421,443,TCP,16,384,246912,2,1719839921,1719839924.8433
192.168.1.208,10.0.0.29,56353,53,TCP,16,616,593824,1,1719840932,1719840940.101
192.168.1.169,198.51.100.34,20233,53,TCP,16,75,38550,3,1719836425,1719836425.4982
192.168.1.135,10.0.0.100,8421,80,ICMP,32,179,53879,1,1719842225,1719842229.1326
192.168.1.123,10.0.0.225,50810,23565,UDP,16,597,168951,3,1719841861,1719841869.467
192.168.1.170,10.0.0.213,18400,123,TCP,64,147,16758,3,1719840455,1719840455.3937
192.168.1.198,10.0.0.14,15851,53,TCP,16,730,542390,2,1719842150,1719842151.8662
192.168.1.249,192.168.1.71,38146,11243,TCP,32,227,69235,1,1719836649,1719836657.9622
192.168.1.97,10.0.0.17,28397,80,UDP,16,872,708064,1,1719837670,1719837674.2159
192.168.1.32,192.168.1.19,28155,80,TCP,32,133,55727,1,1719838396,1719838402.1503
192.168.1.213,10.0.0.85,18165,58000,TCP,16,693,470547,2,1719842284,1719842289.095
192.168.1.174,10.0.0.125,55935,53,UDP,16,750,651000,2,1719837984,1719837988.2892
192.168.1.167,10.0.0.113,9251,48348,TCP,0,263,136234,1,1719842094,1719842101.8765
192.168.1.45,192.168.1.233,26583,80,TCP,16,115,11845,2,1719838573,1719838577.094
192.168.1.123,10.0.0.212,17145,63355,UDP,0,610,89060,3,1719841973,1719841974.4631
192.168.1.235,8.8.8.8,1660,80,TCP,32,414,163116,1,1719841765,1719841774.7825
192.168.1.85,10.0.0.57,20242,53,UDP,0,784,371616,1,1719838392,1719838399.2288
192.168.1.198,10.0.0.26,50603,80,TCP,16,57,21546,1,1719835652,1719835654.2086
192.168.1.241,10.0.0.142,34079,53,TCP,64,872,343568,1,1719838198,1719838207.3121
192.168.1.77,198.51.100.12,12633,80,TCP,32,900,506700,1,1719841158,1719841162.3247
192.168.1.171,192.168.1.32,38249,80,UDP,0,377,50895,2,1719840978,1719840978.541
192.168.1.159,10.0.0.102,13195,443,UDP,32,949,760149,1,1719838002,1719838009.1303
192.168.1.54,10.0.0.49,63050,53,TCP,16,81,58158,2,1719838972,1719838978.7983
192.168.1.19,10.0.0.16,3951,443,TCP,32,239,231830,3,1719839276,1719839279.4998
192.168.1.221,10.0.0.67,5863,123,ICMP,0,153,59976,2,1719841272,1719841281.4848
192.168.1.112,10.0.0.159,23644,80,ICMP,0,542,79674,1,1719837026,1719837029.8846
192.168.1.247,8.8.8.4,58821,80,TCP,64,244,195444,2,1719836191,1719836199.1849
192.168.1.227,10.0.0.221,19433,443,UDP,32,357,308448,3,1719839552,1719839556.8376
192.168.1.153,192.168.1.228,52763,48765,TCP,32,279,248310,2,1719841464,1719841469.6165
192.168.1.107,10.0.0.93,4911,53,TCP,32,65,16445,3,1719841925,1719841929.0718
192.168.1.54,10.0.0.205,42343,53,ICMP,64,220,155320,1,1719838501,1719838510.2904
192.168.1.168,192.168.1.233,56984,53,TCP,0,885,616845,2,1719835469,1719835469.5185
192.168.1.41,10.0.0.253,61851,53,TCP,0,254,237490,1,1719841450,1719841457.3944
192.168.1.209,192.168.1.208,54896,80,TCP,16,909,259065,2,1719838751,1719838751.7406
192.168.1.230,10.0.0.88,56219,53,TCP,0,623,599326,3,1719838177,1719838179.8132
192.168.1.102,10.0.0.190,54412,53,UDP,32,334,295590,1,1719837677,1719837683.0152
192.168.1.152,192.168.1.37,48766,53,UDP,16,888,183816,2,1719840051,1719840055.7291
192.168.1.210,10.0.0.30,55329,443,TCP,32,507,360477,1,1719839078,1719839079.3336
192.168.1.53,192.168.1.235,5696,36011,TCP,64,538,234030,1,1719837963,1719837963.335
192.168.1.252,192.168.1.192,61285,443,UDP,32,89,44144,1,1719841587,1719841590.3803
192.168.1.198,10.0.0.225,34488,53,TCP,64,457,308018,3,1719839485,1719839492.5861
192.168.1.28,198.51.100.23,15029,443,TCP,64,359,274994,3,1719839617,1719839622.7664
192.168.1.66,10.0.0.63,28176,80,TCP,0,722,174002,1,1719839855,1719839857.5266
192.168.1.50,10.0.0.182,7779,23427,TCP,16,644,600852,2,1719836496,1719836498.4006
192.168.1.126,198.51.100.5,5888,80,UDP,32,91,33943,2,1719838709,1719838711.8842
192.168.1.104,10.0.0.28,61620,80,TCP,32,61,11590,2,1719841280,1719841280.1986
192.168.1.56,10.0.0.21,28902,443,TCP,0,129,117648,3,1719836837,1719836837.5575
192.168.1.28,10.0.0.111,26519,443,TCP,32,497,444318,1,1719840322,1719840328.2276
192.168.1.70,192.168.1.174,46239,123,UDP,0,855,329175,1,1719835273,1719835278.8461
192.168.1.170,192.168.1.55,45319,53,UDP,0,177,17346,2,1719839957,1719839962.4288
192.168.1.25,10.0.0.44,13247,53676,TCP,16,580,263900,3,1719837760,1719837760.7532
192.168.1.241,198.51.100.31,41248,123,UDP,0,145,60030,1,1719840265,1719840270.6744
192.168.1.207,192.168.1.171,12069,14492,TCP,16,920,389160,1,1719837185,1719837190.9464
192.168.1.94,192.168.1.187,55289,53,TCP,0,106,58618,2,1719839191,1719839199.4379
192.168.1.114,10.0.0.89,26350,443,TCP,16,655,112005,2,1719839121,1719839122.1167
192.168.1.150,192.168.1.81,8262,53,UDP,64,361,160645,2,1719836891,1719836892.0391
192.168.1.244,10.0.0.15,51318,80,TCP,16,778,483916,3,1719836870,1719836871.4197
192.168.1.90,8.8.8.2,22928,32000,TCP,0,884,150280,1,1719835772,1719835777.541
192.168.1.184,10.0.0.208,16264,443,TCP,32,411,45621,1,1719838137,1719838137.858
192.168.1.89,10.0.0.220,47130,123,TCP,64,517,281248,3,1719840472,1719840476.7578
192.168.1.136,10.0.0.97,64936,53,TCP,0,178,109470,3,1719841303,1719841305.1396
192.168.1.127,10.0.0.56,6846,80,TCP,32,732,100284,3,1719835516,1719835524.0344
192.168.1.221,10.0.0.181,33040,80,TCP,0,748,574464,1,1719836105,1719836108.1542
192.168.1.2,10.0.0.78,18306,443,TCP,64,959,798847,2,1719839756,1719839759.5325
192.168.1.115,10.0.0.242,21246,53,UDP,16,288,219456,3,1719840538,1719840547.806
192.168.1.136,198.51.100.7,7249,80,TCP,16,643,358151,3,1719841191,1719841197.6118
192.168.1.185,10.0.0.201,50895,64635,TCP,32,486,424764,3,1719837844,1719837850.7314
192.168.1.204,192.168.1.60,51314,80,ICMP,64,560,383600,2,1719835767,1719835772.8701
192.168.1.107,10.0.0.185,37331,58719,TCP,32,730,302950,1,1719839141,1719839149.6436
192.168.1.35,192.168.1.204,16946,123,TCP,32,11,9020,2,1719839877,1719839877.4289
192.168.1.202,192.168.1.157,56857,80,UDP,16,122,58072,2,1719836291,1719836292.6062
192.168.1.38,192.168.1.154,20980,443,TCP,0,818,260942,3,1719835929,1719835934.0519
192.168.1.26,10.0.0.129,52585,36624,TCP,64,167,141616,3,1719836914,1719836918.1248
192.168.1.39,10.0.0.190,5572,53,TCP,16,744,110112,3,1719836084,1719836085.693
192.168.1.123,10.0.0.59,11034,53,TCP,64,406,343070,1,1719841697,1719841699.1129
192.168.1.248,192.168.1.57,21806,53,TCP,16,640,435200,1,1719841439,1719841446.1012
192.168.1.207,10.0.0.160,1546,443,TCP,16,288,137088,2,1719836584,1719836590.89
192.168.1.242,192.168.1.175,6453,80,TCP,0,440,60280,3,1719837295,1719837296.0489
192.168.1.125,192.168.1.130,8215,39498,UDP,16,517,184569,1,1719837088,1719837095.1572
192.168.1.164,198.51.100.43,18865,53,TCP,32,157,72848,1,1719840146,1719840146.5415
192.168.1.137,10.0.0.230,27992,53,TCP,16,535,318325,3,1719838431,1719838438.3448
192.168.1.244,198.51.100.36,25201,37161,TCP,16,436,333104,3,1719837288,1719837295.4514
192.168.1.159,10.0.0.93,60604,80,ICMP,64,460,393760,3,1719836135,1719836141.945
192.168.1.88,10.0.0.173,25071,123,UDP,64,686,556346,1,1719841864,1719841864.3709
192.168.1.8,10.0.0.116,45096,123,TCP,32,835,484300,1,1719838234,1719838239.4908
192.168.1.24,10.0.0.16,15000,123,ICMP,64,293,103722,2,1719841074,1719841080.2908
192.168.1.117,10.0.0.163,25032,80,TCP,16,827,634309,3,1719840418,1719840422.3118
192.168.1.3,192.168.1.247,19702,443,UDP,0,656,338496,1,1719838035,1719838037.5296
192.168.1.29,10.0.0.149,17423,49965,UDP,64,937,392603,3,1719839737,1719839737.7979
192.168.1.80,192.168.1.153,35417,80,TCP,32,391,367540,3,1719835540,1719835545.9436
192.168.1.197,192.168.1.28,31021,53,UDP,16,728,360360,1,1719835447,1719835453.1522
192.168.1.153,192.168.1.36,36995,443,TCP,64,705,150165,1,1719841893,1719841896.5557
192.168.1.68,10.0.0.40,3840,123,TCP,0,10,1500,2,1719841571,1719841580.0642
192.168.1.11,198.51.100.20,62355,80,TCP,64,638,479138,2,1719840169,1719840178.4475
192.168.1.74,10.0.0.141,44768,123,TCP,0,635,79375,2,1719837879,1719837882.3036
192.168.1.102,10.0.0.62,36303,123,TCP,64,852,397032,3,1719842336,1719842342.3711
192.168.1.246,10.0.0.36,35773,39346,UDP,64,327,100716,1,1719836338,1719836344.3664
192.168.1.228,10.0.0.97,20817,123,TCP,16,165,44880,1,1719841762,1719841766.0836
192.168.1.101,192.168.1.12,51033,443,TCP,0,657,367920,3,1719840494,1719840498.1883
192.168.1.18,192.168.1.249,4226,123,TCP,0,548,481692,3,1719842340,1719842344.9427
192.168.1.59,192.168.1.76,37215,80,TCP,64,654,78480,2,1719841101,1719841109.3108
192.168.1.86,192.168.1.115,31114,19754,TCP,16,718,222580,3,1719835429,1719835438.1993
192.168.1.28,192.168.1.184,25974,43682,TCP,64,192,43200,2,1719835656,1719835659.0609
192.168.1.129,10.0.0.116,33471,53,TCP,16,851,154882,1,1719839841,1719839850.2213
192.168.1.245,10.0.0.112,35634,80,TCP,16,450,288900,3,1719840047,1719840052.3871
192.168.1.126,10.0.0.69,58868,443,UDP,0,264,170808,1,1719840146,1719840147.1385
192.168.1.178,192.168.1.187,46775,53,TCP,64,879,541464,3,1719840818,1719840819.9973
192.168.1.229,192.168.1.104,16172,53,TCP,16,949,595972,3,1719838632,1719838635.7042
192.168.1.28,10.0.0.161,20762,443,TCP,0,537,272796,1,1719842010,1719842013.6839
192.168.1.34,198.51.100.33,19524,12416,TCP,32,25,20675,1,1719841465,1719841472.3724
192.168.1.34,10.0.0.147,53396,443,TCP,32,783,360963,1,1719839378,1719839381.9532
192.168.1.202,10.0.0.215,10614,30353,UDP,16,908,474884,3,1719839639,1719839640.996
192.168.1.107,10.0.0.41,40292,8482,TCP,0,736,685216,2,1719838760,1719838760.3453
192.168.1.109,10.0.0.222,42072,53,TCP,0,415,336980,1,1719841216,1719841222.3758
192.168.1.202,10.0.0.90,36917,443,TCP,0,182,170352,1,1719840092,1719840098.9185
192.168.1.32,10.0.0.214,57696,53,TCP,32,831,191961,3,1719835711,1719835719.5855
192.168.1.27,10.0.0.87,20095,443,TCP,64,396,268092,3,1719835983,1719835991.05
192.168.1.91,192.168.1.49,8694,443,UDP,16,52,50336,3,1719839774,1719839775.7072
192.168.1.197,10.0.0.72,50291,53,ICMP,32,743,237017,2,1719840850,1719840859.7522
192.168.1.206,10.0.0.220,39395,53,UDP,64,565,548615,2,1719837866,1719837868.9215
192.168.1.223,192.168.1.147,56434,53,TCP,64,958,454092,2,1719837020,1719837029.2182
192.168.1.17,10.0.0.29,58543,123,TCP,16,439,375345,2,1719838280,1719838281.814
192.168.1.41,10.0.0.189,24302,443,TCP,64,97,71295,1,1719842026,1719842030.6158
192.168.1.54,192.168.1.172,11807,80,TCP,64,260,113620,2,1719840772,1719840781.4826
192.168.1.65,10.0.0.153,20140,41201,TCP,0,918,734400,2,1719835415,1719835421.3759
192.168.1.79,10.0.0.214,15137,53,TCP,32,77,16555,3,1719837013,1719837013.9662
192.168.1.117,10.0.0.134,62441,53,TCP,64,20,13380,1,1719837108,1719837115.6757
192.168.1.67,10.0.0.237,22293,55557,UDP,64,659,446802,3,1719839803,1719839804.6726
10.0.0.99,192.168.1.20,2851,15709,UDP,0,23845,1788375,1,1719836713,1719836713.4593
192.168.1.17,10.0.0.198,18228,53,UDP,64,263,191464,2,1719837423,1719837426.1377
192.168.1.234,192.168.1.128,31228,53,TCP,32,471,294375,2,1719836615,1719836618.4399
192.168.1.173,10.0.0.131,18888,80,TCP,32,424,80136,2,1719838031,1719838031.2937
192.168.1.181,198.51.100.43,10929,443,TCP,0,216,144072,3,1719839839,1719839842.7662
192.168.1.63,192.168.1.26,6226,443,TCP,0,110,29150,1,1719839239,1719839239.6563
192.168.1.86,10.0.0.155,56986,13052,TCP,0,73,60736,3,1719840723,1719840727.0309
192.168.1.20,10.0.0.178,7907,443,TCP,16,756,96768,3,1719835938,1719835944.9547
192.168.1.134,10.0.0.41,1320,53,TCP,16,332,292492,1,1719835915,1719835920.2726
192.168.1.234,192.168.1.215,30799,443,TCP,0,929,666093,1,1719842182,1719842187.3905
192.168.1.112,10.0.0.7,4823,443,TCP,32,230,165140,1,1719836025,1719836031.6563
192.168.1.64,10.0.0.252,28659,123,TCP,32,393,311256,3,1719835939,1719835939.3237
192.168.1.3,10.0.0.240,60498,53,ICMP,32,368,118864,2,1719841412,1719841413.5944
192.168.1.63,10.0.0.51,24964,53,TCP,64,817,60458,1,1719837623,1719837626.9737
192.168.1.36,10.0.0.152,28865,80,TCP,64,318,76956,1,1719840299,1719840300.6651
192.168.1.35,192.168.1.39,35470,18840,TCP,64,131,21746,3,1719839855,1719839861.7941
192.168.1.69,192.168.1.140,56772,80,TCP,16,108,42012,1,1719838335,1719838340.7559
192.168.1.70,10.0.0.201,62252,123,TCP,0,146,121326,1,1719836893,1719836896.7676
192.168.1.45,10.0.0.78,39390,53,UDP,16,144,135360,2,1719836556,1719836556.5219
192.168.1.212,10.0.0.37,17078,123,TCP,32,773,220305,3,1719837519,1719837528.0635
192.168.1.69,10.0.0.54,23782,123,TCP,16,543,310053,3,1719840480,1719840484.0118
192.168.1.82,192.168.1.146,49109,80,TCP,0,198,174438,2,1719841692,1719841693.8432
192.168.1.138,10.0.0.229,34520,53,TCP,32,19,12445,3,1719838006,1719838013.9067
192.168.1.137,10.0.0.170,51074,53,TCP,16,426,282438,2,1719841459,1719841468.2324
192.168.1.26,10.0.0.32,62526,123,TCP,16,501,497493,2,1719837625,1719837631.6364
192.168.1.114,192.168.1.38,10185,123,TCP,16,872,626096,3,1719836923,1719836928.0847
192.168.1.58,192.168.1.54,8115,80,TCP,16,722,381216,3,1719837212,1719837220.4986
192.168.1.216,10.0.0.11,60331,443,UDP,0,221,52598,3,1719840498,1719840504.9693
192.168.1.96,192.168.1.19,55242,1999,TCP,0,993,870861,3,1719835667,1719835675.8213
192.168.1.18,10.0.0.90,36470,50261,TCP,0,796,270640,2,1719837555,1719837561.3507
192.168.1.216,8.8.8.5,40669,41197,UDP,64,155,48360,2,1719841552,1719841554.5035
192.168.1.231,192.168.1.249,22560,123,TCP,64,967,620814,2,1719839980,1719839983.394
192.168.1.31,10.0.0.16,11547,29188,TCP,32,444,63048,3,1719841299,1719841307.0127
192.168.1.154,10.0.0.74,9560,53,UDP,32,733,388490,2,1719838042,1719838048.7714
192.168.1.252,198.51.100.47,14072,54724,TCP,32,341,120032,2,1719839782,1719839788.0045
192.168.1.46,192.168.1.81,31797,4211,TCP,0,82,74784,1,1719840905,1719840910.2775
192.168.1.123,10.0.0.237,12819,123,TCP,64,31,29605,1,1719840715,1719840721.4359
192.168.1.60,10.0.0.171,64712,123,TCP,64,813,804870,2,1719837029,1719837031.3811
192.168.1.19,10.0.0.141,56120,80,TCP,32,327,200124,2,1719842174,1719842181.4474
192.168.1.42,192.168.1.230,34999,443,TCP,64,196,41748,1,1719840126,1719840135.6624
192.168.1.75,10.0.0.118,58406,443,TCP,0,682,333498,2,1719838319,1719838322.4165
192.168.1.214,192.168.1.233,42866,123,ICMP,32,648,205416,2,1719836418,1719836425.8317
192.168.1.17,10.0.0.4,23329,45806,UDP,64,343,329623,2,1719840880,1719840889.1639
192.168.1.249,198.51.100.26,55069,443,TCP,16,866,678078,3,1719840707,1719840707.2977
192.168.1.143,192.168.1.249,19899,80,TCP,32,71,29394,1,1719836885,1719836887.2183
192.168.1.213,192.168.1.49,27615,53,TCP,64,149,68093,2,1719838400,1719838409.3923
192.168.1.75,192.168.1.36,8996,53,TCP,32,216,162000,1,1719838388,1719838397.5712
192.168.1.230,192.168.1.224,64847,123,TCP,16,82,24272,3,1719838994,1719839002.1131
192.168.1.247,192.168.1.166,40604,443,TCP,32,223,189773,1,1719836222,1719836228.2484
192.168.1.100,192.168.1.44,19000,443,UDP,0,437,393737,1,1719837685,1719837693.674
192.168.1.45,10.0.0.91,21046,123,TCP,32,91,84903,3,1719840444,1719840444.1327
192.168.1.92,10.0.0.222,35285,123,UDP,64,519,415719,2,1719839001,1719839004.8402
192.168.1.177,10.0.0.4,3713,80,TCP,64,485,296335,2,1719839112,1719839114.4012
192.168.1.17,192.168.1.65,31217,28012,UDP,16,177,21771,2,1719840242,1719840243.8139
192.168.1.192,10.0.0.30,53909,123,UDP,32,465,232035,3,1719837489,1719837489.1333
192.168.1.235,198.51.100.30,39818,443,TCP,64,317,118558,3,1719838641,1719838645.8733
192.168.1.237,10.0.0.4,47265,80,TCP,16,745,631015,1,1719837353,1719837354.443
192.168.1.167,10.0.0.184,15629,123,ICMP,32,840,220080,3,1719838433,1719838434.6751
192.168.1.202,10.0.0.88,29368,123,TCP,0,979,581526,1,1719838334,1719838341.8597
192.168.1.239,198.51.100.49,38339,14383,TCP,16,209,22990,1,1719835696,1719835705.2917
192.168.1.111,198.51.100.43,33540,7691,UDP,64,938,557172,2,1719838702,1719838708.732
192.168.1.56,192.168.1.226,40791,123,TCP,32,136,119952,3,1719842130,1719842139.5809
192.168.1.111,10.0.0.147,50816,123,TCP,16,259,109557,2,1719839749,1719839753.2188
192.168.1.2,10.0.0.39,26914,53,TCP,16,45,42075,2,1719836982,1719836986.4115
192.168.1.41,10.0.0.45,39122,53471,UDP,64,310,258540,3,1719835541,1719835546.0356
192.168.1.170,10.0.0.160,5943,62199,TCP,16,487,128568,3,1719840125,1719840132.2029
192.168.1.24,10.0.0.164,14288,443,UDP,0,527,452693,1,1719839883,1719839890.5778
192.168.1.157,192.168.1.36,38950,19164,ICMP,64,978,677754,3,1719841267,1719841274.0493
192.168.1.57,10.0.0.123,64073,53,TCP,32,947,763282,3,1719836544,1719836553.0855
192.168.1.241,10.0.0.231,39567,19079,UDP,16,786,447234,3,1719841371,1719841375.8329
192.168.1.165,10.0.0.223,6474,443,TCP,16,861,625086,2,1719838304,1719838311.7065
192.168.1.210,192.168.1.172,40826,53,TCP,16,890,334640,3,1719835753,1719835757.4424
192.168.1.90,10.0.0.42,35665,53,TCP,0,543,267156,3,1719841127,1719841128.5131
192.168.1.105,198.51.100.10,1508,53,TCP,0,13,4719,2,1719839113,1719839118.3641
192.168.1.79,192.168.1.242,59549,53,TCP,16,826,619500,1,1719838487,1719838489.1739
192.168.1.162,10.0.0.140,64466,80,TCP,16,963,622098,2,1719838112,1719838120.1377
192.168.1.139,192.168.1.116,29500,80,TCP,64,295,93220,1,1719839320,1719839321.6656
192.168.1.242,10.0.0.79,46115,61946,ICMP,64,664,608888,2,1719840950,1719840959.2329
192.168.1.62,198.51.100.5,31599,53,UDP,32,233,66172,3,1719836839,1719836847.8429
192.168.1.162,198.51.100.11,39169,31126,TCP,64,936,553176,1,1719835301,1719835305.8217
192.168.1.80,192.168.1.40,15905,123,TCP,16,790,628840,1,1719842325,1719842325.9963
192.168.1.108,192.168.1.101,51807,443,TCP,32,755,207625,1,1719837426,1719837427.808
192.168.1.106,10.0.0.225,49284,443,UDP,64,969,384693,1,1719835399,1719835404.1054
192.168.1.240,192.168.1.66,64190,80,TCP,0,487,388626,1,1719839367,1719839370.2038
192.168.1.2,198.51.100.14,1105,4569,TCP,32,720,138240,3,1719835406,1719835410.8856
192.168.1.5,10.0.0.28,19448,53,UDP,16,112,42560,1,1719838190,1719838197.158
192.168.1.4,192.168.1.224,25346,123,TCP,64,812,522928,1,1719836734,1719836740.171
192.168.1.67,10.0.0.43,26833,80,TCP,16,698,104700,3,1719839978,1719839979.784
192.168.1.109,192.168.1.217,8041,123,TCP,64,863,422007,2,1719835631,1719835635.517
192.168.1.41,192.168.1.231,31818,80,TCP,32,206,183340,3,1719841452,1719841458.261
192.168.1.95,10.0.0.94,47815,80,TCP,0,216,49896,3,1719841864,1719841871.8051
192.168.1.192,192.168.1.42,26639,443,TCP,64,652,487696,2,1719842243,1719842249.1371
192.168.1.78,10.0.0.122,24047,53,TCP,32,312,307632,2,1719842071,1719842073.4384
192.168.1.172,198.51.100.45,26631,63124,TCP,0,345,58650,3,1719841712,1719841714.5522
192.168.1.249,10.0.0.251,5033,443,TCP,64,590,502090,3,1719836347,1719836348.1897
192.168.1.101,192.168.1.34,64506,123,TCP,64,89,70755,3,1719835224,1719835232.2119
192.168.1.127,192.168.1.249,28396,53,TCP,64,609,518868,3,1719836559,1719836560.5503
192.168.1.84,10.0.0.182,40291,53,UDP,64,536,313024,1,1719839737,1719839740.9949
192.168.1.69,10.0.0.137,64162,53,UDP,64,216,59616,2,1719837203,1719837204.5207
192.168.1.204,10.0.0.95,15962,80,UDP,0,153,32436,2,1719839388,1719839395.7806
192.168.1.21,10.0.0.56,27442,38693,TCP,0,742,496398,1,1719841031,1719841032.1309
192.168.1.147,10.0.0.99,15455,2259,TCP,16,890,157530,2,1719841290,1719841296.872
192.168.1.114,10.0.0.178,40861,80,TCP,0,512,147456,1,1719839031,1719839033.0443
192.168.1.92,10.0.0.200,5064,53,TCP,16,526,96258,1,1719841043,1719841050.1639
192.168.1.119,192.168.1.194,22691,123,TCP,16,238,101864,2,1719838176,1719838183.191
192.168.1.40,8.8.8.4,12567,443,TCP,64,482,216900,1,1719835503,1719835511.3651
192.168.1.208,8.8.8.1,44658,80,ICMP,16,922,909092,1,1719841654,1719841657.3789
192.168.1.64,10.0.0.252,39157,14417,TCP,32,330,247830,2,1719838081,1719838088.733
192.168.1.252,192.168.1.234,21325,123,TCP,0,246,110208,1,1719835857,1719835863.4791
192.168.1.151,10.0.0.176,24641,80,TCP,64,333,272061,1,1719835747,1719835752.8925
192.168.1.157,192.168.1.126,54426,443,TCP,0,8,2928,3,1719836727,1719836729.5396
192.168.1.162,198.51.100.9,15493,4000,TCP,16,95,44460,3,1719840961,1719840966.4815
192.168.1.230,10.0.0.121,4598,53,ICMP,64,38,32224,2,1719841341,1719841348.9028
192.168.1.210,10.0.0.214,41061,123,TCP,16,533,348049,1,1719841922,1719841930.5011
192.168.1.136,8.8.8.1,61262,35450,UDP,32,221,140998,1,1719837556,1719837560.1681
192.168.1.142,10.0.0.101,59005,80,TCP,64,339,292896,2,1719839674,1719839682.2929
192.168.1.148,198.51.100.10,8111,123,ICMP,0,841,129514,1,1719836104,1719836109.131
192.168.1.205,10.0.0.200,54554,80,TCP,64,391,116518,3,1719842049,1719842050.0848
192.168.1.165,10.0.0.94,3680,80,UDP,64,465,124620,3,1719836558,1719836566.9798
192.168.1.151,10.0.0.157,52701,443,TCP,16,154,89320,1,1719841830,1719841837.021
